Course Code,Title,GERs,Description,Units,Grading,Component,Days,Time,Location,Instructors,Final Exam
ATHLETIC10,Varsity Sport Experience,,Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator.,1-2,Satisfactory/No Credit,ACT,, - ,,Tia Lillie; Chris Klevan,No
ATHLETIC11,Athletic Team Manager,,For student managers of intercollegiate teams. Limit 1 credit per quarter with a maximum of 8 credits able to be applied towards graduation. Prerequisite: consent of respective varsity team head coach. May repeat for credit.,1,Satisfactory/No Credit,ACT,, - ,,Tia Lillie; Kevin Hambly,No
ATHLETIC50,Olympic Training,,Designed for students training for Olympic competition; conditioning; practice; competition preparation; weight training; and leadership skill development. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a verified candidate for an Olympic team with a specified training schedule calling for at least 30 hours (1 unit) or 60 hours (2 units) of training time in the 10 week quarter. Instructor approval required. May repeat for credit.,1-2,Satisfactory/No Credit,ACT,, - ,,Tia Lillie; Meredith Basil,No
ATHLETIC60,CLUB - Sport Experience,,"This course is offered to club sport athletes who participate on credit approved Club Sports teams. Teams who are eligible to receive credit, are required to have a coach and/or administrator to supervise their class. To be eligible to receive a unit, teams and athletes on the team must complete at least 30 hours (1 unit) of participation in the quarter.  May repeat for credit. A maximum of 8 activity units may be applied towards graduation. Prerequisite: All fitness levels are welcome.  Permission of club sport administrator.",1,Satisfactory/No Credit,ACT,, - ,,Tia Lillie; Winston Adams,No
ATHLETIC62,CLUB - Band,,"This course is offered to club members who participate on credit approved Club Sports teams. All members must complete 30 hours of participation during the quarter. To be eligible for credit, the club must practice 2x a week for a maximum total of 4 hours and participate in 1-3 events in the quarter. Prerequisite: Permission of club sport administrator. May repeat for credit. A maximum of 8 activity units may be applied towards graduation.",1,Satisfactory/No Credit,ACT,, - ,,Tommy Gray; Russ Gavin,No
HORSE10,Introduction to Horsemanship,,"Students will learn how horses communicate and interact with the world in a way completely different than us and how we can communicate and work with them. Emphasis is placed on safety and a proper understanding of equine communication and behavior. The first 5 weeks will focus on unmounted work to acquaint riders with horses, so they feel confident and safe around horses so they can more easily communicate with them. The last 3 weeks will have both mounted and unmounted portions of class. The mounted portion of class focuses on learning correct position while riding at the walk, proper use of the aids to communicate with the horse, as well as balance and strength-building exercises. This course will utilize class discussion, assignments, and student participation to develop each student into a rider who can work with a horse both mounted and unmounted at an introductory level. English and Western styles of riding will be offered, with an emphasis on western riding.Prerequisite: All levels of rider's are welcome.",1,Satisfactory/No Credit,ACT,Wednesday,10:30:00 AM - 11:50:00 AM,,Vanessa Bartsch; Tina Davey; Katie Garcia,No
HORSE12,Adv. Beginner Horsemanship,,"Students will learn how to work with and communicate with horses, despite differences. Riders will develop this understanding and work with horses in new and more advanced ways. Emphasis is placed on safety and a proper understanding of equine communication and behavior both in and out of the saddle. The unmounted portion of class focuses on how to safely halter, lead, groom and tack the horse before &amp; after riding. The mounted portion of class includes work at the walk, trot and understanding the foundations of jumping and advanced flat work. This class will utilize class discussion, class assignments and student participation to develop each student into a rider who can confidently work with a horse both mounted and unmounted. This course will utilize class discussion, assignments, and student participation to develop each student into a rider who can confidently work with a horse both mounted and unmounted. English and Western styles of riding will be offered, with an emphasis on western riding.Prerequisite: Over 15 hours of riding time or completion of PE 65. Riders who have not successfully completed PE 65 must submit information on their previous work with horses and may be asked to come out for an assessment of abilities before the first class.",1,Satisfactory/No Credit,ACT,, - ,,Vanessa Bartsch; Tina Davey; Katie Garcia,No
OUTDOOR10,Rock Climbing I: Beginning,,"This course is an introductory course. Students will learn skills necessary to get started exploring the world of indoor climbing.  These skills include technical safety skills for bouldering and top-roped climbing, essential physical and mental skills, and strategies for training.  Students will be taught with industry standard best practices in regards to safety, and provided with a multi-disciplinary approach to overall health and wellness.  No experience necessary.",1,Satisfactory/No Credit,ACT,"Tuesday, Thursday",12:00:00 PM - 1:20:00 PM,AOERC Climbing Wall 1,Alyson Chun,No
OUTDOOR11,Rock Climbing II: Intermediate,,"In this course students will have the opportunity to build upon basic principles associated with rock climbing.  Student will further explore variations in climbing efficiency techniques, crack climbing techniques, and training methodologies to enhance their climbing experience and help prevent injuries.  Students will be taught with industry standard best practices in regards to safety, and provided with a multi-disciplinary approach to overall health and wellness.Prerequisites:  Rock Climbing 1 or at least 3 months previous climbing experience, current top-rope belay certification at the Stanford Climbing Wall",1,Satisfactory/No Credit,ACT,"Tuesday, Thursday",1:30:00 PM - 2:50:00 PM,AOERC Climbing Wall 1,Dan Earhart,No
OUTDOOR12,Indoor Lead Climbing,,Learn technical and safety skills pertaining to sport lead climibing. Apply specific physical and mental training principals to assist improving lead climbing performance and preventing over use injuries.,1,Satisfactory/No Credit,ACT,"Tuesday, Thursday",10:30:00 AM - 11:50:00 AM,AOERC Climbing Wall 2,Alyson Chun,No
OUTDOOR14,Rock Climbing: Gym to CRAG,,"Learn how to transition from indoor climbing facilities to outdoor rock climbing venues. Emphasis will be placed on evaluating risk, along with constructing and assessing safe anchoring systems using natural and bolted anchors.",1,Satisfactory/No Credit,ACT,Wednesday,3:30:00 PM - 4:50:00 PM,AOERC Climbing Wall 2,Dan Earhart,No
